Promedio horarios de pm2Promedio horarios de pm2
Fecha,Hora,ACO,AJM,AJU,ATI,BJU,CAM,CCA,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LLA,LPR,MER,MGH,MPA,NEZ,PED,SAC,SAG,SFE,SJA,SUR,TAH,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-08-2024,1,nr,13,nr,nr,12,nr,nr,nr,nr,nr,nr,nr,nr,19,23,nr,7,nr,nr,nr,11,nr,10,18,nr,27,21,nr,nr,nr,nr,nr,nr,nr,nr,19,30,nr,nr,
01-08-2024,2,nr,15,7,nr,13,nr,nr,nr,nr,nr,nr,nr,nr,8,14,nr,5,nr,nr,nr,14,nr,16,20,nr,27,14,nr,nr,nr,nr,nr,nr,nr,nr,20,20,nr,nr,
01-08-2024,3,nr,10,8,nr,11,nr,nr,nr,nr,nr,nr,nr,nr,22,17,nr,9,nr,nr,nr,15,nr,17,15,nr,13,21,nr,nr,nr,nr,nr,nr,nr,nr,16,27,nr,nr,
01-08-2024,4,nr,12,10,nr,10,nr,nr,nr,nr,nr,nr,nr,nr,16,17,nr,11,nr,nr,nr,18,nr,19,16,nr,13,15,nr,nr,nr,nr,nr,nr,nr,nr,15,20,nr,nr,
01-08-2024,5,nr,15,6,nr,11,nr,nr,nr,nr,nr,nr,nr,nr,14,9,nr,9,nr,nr,nr,14,nr,18,14,nr,15,21,nr,nr,nr,nr,nr,nr,nr,nr,18,31,nr,nr,
01-08-2024,6,nr,11,3,nr,8,nr,nr,nr,nr,nr,nr,nr,nr,15,10,nr,10,nr,nr,nr,20,nr,11,11,nr,19,15,nr,nr,nr,nr,nr,nr,nr,nr,14,29,nr,nr,
01-08-2024,7,nr,13,5,nr,15,nr,nr,nr,nr,nr,nr,nr,nr,16,9,nr,6,nr,nr,nr,18,nr,17,14,nr,18,13,nr,nr,nr,nr,nr,nr,nr,nr,19,26,nr,nr,
01-08-2024,8,nr,14,3,nr,10,nr,nr,nr,nr,nr,nr,nr,nr,7,10,nr,7,nr,nr,nr,17,nr,16,12,nr,18,21,nr,nr,nr,nr,nr,nr,nr,nr,17,27,nr,nr,
01-08-2024,9,nr,19,4,nr,15,nr,nr,nr,nr,nr,nr,nr,nr,14,10,17,5,nr,nr,nr,20,nr,16,13,nr,21,12,nr,nr,nr,nr,nr,nr,nr,nr,18,23,nr,nr,
01-08-2024,10,nr,17,15,nr,15,nr,nr,nr,nr,nr,nr,nr,nr,16,17,21,10,nr,nr,nr,17,nr,21,21,nr,22,23,nr,nr,nr,nr,nr,nr,nr,nr,19,26,nr,nr,
01-08-2024,11,nr,21,16,nr,21,nr,nr,nr,nr,nr,nr,nr,nr,11,30,32,13,nr,nr,nr,26,nr,17,22,nr,29,12,nr,nr,nr,nr,nr,nr,nr,nr,15,30,nr,nr,
01-08-2024,12,nr,25,21,nr,27,nr,nr,nr,nr,nr,nr,nr,nr,26,25,23,14,nr,nr,nr,26,nr,25,15,nr,24,10,nr,nr,nr,nr,nr,nr,nr,nr,25,30,nr,nr,
01-08-2024,13,nr,21,22,nr,35,nr,nr,nr,nr,nr,nr,nr,nr,16,26,26,17,nr,nr,nr,24,nr,28,15,nr,21,34,nr,nr,nr,nr,nr,nr,nr,nr,25,29,nr,nr,
01-08-2024,14,nr,33,26,nr,26,nr,nr,nr,nr,nr,nr,nr,nr,3,19,39,21,nr,nr,nr,24,nr,22,14,nr,23,27,nr,nr,nr,nr,nr,nr,nr,nr,13,31,nr,nr,
01-08-2024,15,nr,25,16,nr,31,nr,nr,nr,nr,nr,nr,nr,nr,7,4,21,30,nr,nr,nr,5,nr,16,8,nr,15,nr,nr,nr,nr,nr,nr,nr,nr,nr,11,13,nr,nr,
01-08-2024,16,nr,19,13,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,6,3,25,nr,nr,nr,nr,nr,21,3,nr,11,nr,nr,nr,nr,nr,nr,nr,nr,nr,9,13,nr,nr,
01-08-2024,17,nr,15,17,nr,9,nr,nr,nr,nr,nr,nr,nr,nr,nr,5,11,16,nr,nr,nr,6,nr,9,1,nr,18,nr,nr,nr,nr,nr,nr,nr,nr,nr,2,15,nr,nr,
01-08-2024,18,nr,10,13,nr,14,nr,nr,nr,nr,nr,nr,nr,nr,nr,7,11,9,nr,nr,nr,1,nr,16,10,nr,19,nr,nr,nr,nr,nr,nr,nr,nr,nr,10,14,nr,nr,
01-08-2024,19,nr,9,15,nr,14,nr,nr,nr,nr,nr,nr,nr,nr,11,1,7,6,nr,nr,nr,10,nr,5,10,nr,10,nr,nr,nr,nr,nr,nr,nr,nr,nr,17,13,nr,nr,
01-08-2024,20,nr,8,12,nr,6,nr,nr,nr,nr,nr,nr,nr,nr,2,12,12,nr,nr,nr,nr,15,nr,4,11,nr,12,nr,nr,nr,nr,nr,nr,16,nr,nr,13,26,nr,nr,
01-08-2024,21,nr,11,9,nr,11,nr,nr,nr,nr,nr,nr,nr,nr,9,nr,12,11,nr,nr,nr,16,nr,6,8,nr,10,nr,nr,nr,nr,nr,nr,3,nr,nr,14,22,nr,nr,
01-08-2024,22,nr,7,12,nr,13,nr,nr,nr,nr,nr,nr,nr,nr,2,8,9,8,nr,nr,nr,7,nr,11,10,nr,9,nr,nr,nr,nr,nr,nr,15,nr,nr,17,21,nr,nr,
01-08-2024,23,nr,7,nr,nr,7,nr,nr,nr,nr,nr,nr,nr,nr,16,5,10,8,nr,nr,nr,8,nr,14,9,nr,11,nr,nr,nr,nr,nr,nr,12,nr,nr,4,16,nr,nr,
01-08-2024,24,nr,6,7,nr,5,nr,nr,nr,nr,nr,nr,nr,nr,9,6,11,8,nr,nr,nr,15,nr,11,8,nr,15,nr,nr,nr,nr,nr,nr,12,nr,nr,8,18,nr,nr,
02-08-2024,1,nr,7,9,nr,10,nr,nr,nr,nr,nr,nr,nr,nr,9,9,5,9,nr,nr,nr,6,nr,11,8,nr,12,nr,nr,nr,nr,nr,nr,6,nr,nr,13,16,nr,nr,
02-08-2024,2,nr,6,9,nr,10,nr,nr,nr,nr,nr,nr,nr,nr,nr,3,9,12,nr,nr,nr,4,nr,11,12,nr,12,nr,nr,nr,nr,nr,nr,18,nr,nr,24,13,nr,nr,
02-08-2024,3,nr,10,5,nr,7,nr,nr,nr,nr,nr,nr,nr,nr,9,18,13,12,nr,nr,nr,10,nr,8,8,nr,3,nr,nr,nr,nr,nr,nr,5,nr,nr,12,22,nr,nr,
02-08-2024,4,nr,5,5,nr,9,nr,nr,nr,nr,nr,nr,nr,nr,12,7,10,6,nr,nr,nr,6,nr,10,15,nr,14,nr,nr,nr,nr,nr,nr,12,nr,nr,7,23,nr,nr,
02-08-2024,5,nr,8,8,nr,11,nr,nr,nr,nr,nr,nr,nr,nr,6,5,13,5,nr,nr,nr,3,nr,6,9,nr,14,nr,nr,nr,nr,nr,nr,nr,nr,nr,10,17,nr,nr,
02-08-2024,6,nr,5,9,nr,8,nr,nr,nr,nr,nr,nr,nr,nr,9,7,1,3,nr,nr,nr,14,nr,8,5,nr,12,nr,nr,nr,nr,nr,nr,7,nr,nr,13,9,nr,nr,
02-08-2024,7,nr,4,6,nr,7,nr,nr,nr,nr,nr,nr,nr,nr,5,5,15,6,nr,nr,nr,12,nr,8,8,nr,7,nr,nr,nr,nr,nr,nr,7,nr,nr,7,25,nr,nr,
