Promedio horarios de tmpPromedio horarios de tmp
Fecha,Hora,ACO,AJM,AJU,ATI,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,IMP,INN,IZT,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SS1,SUR,TAC,TAH,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-08-2024,1,nr,nr,11,nr,17,nr,nr,nr,nr,nr,nr,15,14,14,nr,17,nr,nr,12,nr,nr,nr,18,17,14,18,nr,nr,nr,18,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,17,nr,nr,
01-08-2024,2,nr,nr,10,nr,17,nr,nr,nr,nr,nr,nr,14,14,14,nr,17,nr,nr,12,nr,nr,nr,18,17,13,17,nr,nr,nr,17,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,16,nr,nr,
01-08-2024,3,nr,nr,9,nr,16,nr,nr,nr,nr,nr,nr,13,13,14,nr,17,nr,nr,11,nr,nr,nr,18,16,13,17,nr,nr,nr,17,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,16,nr,nr,
01-08-2024,4,nr,nr,8,nr,16,nr,nr,nr,nr,nr,nr,13,13,13,nr,17,nr,nr,11,nr,nr,nr,18,16,13,17,nr,nr,nr,17,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,16,nr,nr,
01-08-2024,5,nr,nr,7,nr,16,nr,nr,nr,nr,nr,nr,13,13,13,nr,16,nr,nr,11,nr,nr,nr,17,16,12,17,nr,nr,nr,16,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,16,nr,nr,
01-08-2024,6,nr,nr,8,nr,16,nr,nr,nr,nr,nr,nr,13,13,13,nr,16,nr,nr,11,nr,nr,nr,17,16,11,16,nr,nr,nr,16,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,15,nr,nr,
01-08-2024,7,nr,nr,8,nr,16,nr,nr,nr,nr,nr,nr,13,13,13,nr,16,nr,nr,12,nr,nr,nr,17,16,10,16,nr,nr,nr,16,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,16,nr,nr,
01-08-2024,8,nr,nr,9,nr,16,nr,nr,nr,nr,nr,nr,13,13,14,nr,17,nr,nr,12,nr,nr,nr,18,16,11,16,nr,nr,nr,16,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,16,nr,nr,
01-08-2024,9,nr,nr,11,nr,17,nr,nr,nr,nr,nr,nr,14,14,16,nr,18,nr,nr,14,nr,nr,nr,18,17,13,17,nr,nr,nr,17,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,17,nr,nr,
01-08-2024,10,nr,nr,14,nr,18,nr,nr,nr,nr,nr,nr,15,16,19,nr,18,nr,nr,15,nr,nr,nr,20,18,16,19,nr,nr,nr,19,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,17,nr,nr,
01-08-2024,11,nr,nr,15,nr,19,nr,nr,nr,nr,nr,nr,16,19,22,nr,20,nr,nr,17,nr,nr,nr,21,20,18,20,nr,nr,nr,20,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,19,nr,nr,
01-08-2024,12,nr,nr,15,nr,21,nr,nr,nr,nr,nr,nr,18,20,24,nr,22,nr,nr,18,nr,nr,nr,23,21,20,22,nr,nr,nr,22,nr,nr,21,nr,nr,nr,nr,nr,nr,nr,nr,21,nr,nr,
01-08-2024,13,nr,nr,16,nr,22,nr,nr,nr,nr,nr,nr,20,nr,25,nr,24,nr,nr,18,nr,nr,nr,24,22,22,23,nr,nr,nr,24,nr,nr,25,nr,nr,nr,nr,nr,nr,nr,nr,22,nr,nr,
01-08-2024,14,nr,nr,17,nr,23,nr,nr,nr,nr,nr,nr,20,nr,26,nr,25,nr,nr,17,nr,nr,nr,25,23,24,25,nr,nr,nr,25,nr,nr,26,nr,nr,nr,nr,nr,nr,nr,nr,24,nr,nr,
01-08-2024,15,nr,nr,17,nr,24,nr,nr,nr,nr,nr,nr,20,25,25,nr,26,nr,nr,18,nr,nr,nr,26,24,24,25,nr,nr,nr,26,nr,nr,26,nr,nr,nr,nr,nr,nr,nr,nr,24,nr,nr,
01-08-2024,16,nr,nr,18,nr,25,nr,nr,nr,nr,nr,nr,21,25,26,nr,26,nr,nr,19,nr,nr,nr,27,24,24,25,nr,nr,nr,26,nr,nr,26,nr,nr,nr,nr,nr,nr,nr,nr,24,nr,nr,
01-08-2024,17,nr,nr,16,nr,23,nr,nr,nr,nr,nr,nr,22,23,25,nr,23,nr,nr,19,nr,nr,nr,25,24,22,22,nr,nr,nr,22,nr,nr,23,nr,nr,nr,nr,nr,nr,nr,nr,22,nr,nr,
01-08-2024,18,nr,nr,14,nr,17,nr,nr,nr,nr,nr,nr,17,20,18,nr,18,nr,nr,17,nr,nr,nr,19,19,20,18,nr,nr,nr,20,nr,nr,15,nr,nr,nr,nr,nr,nr,nr,nr,17,nr,nr,
01-08-2024,19,nr,nr,13,nr,18,nr,nr,nr,nr,nr,nr,15,20,16,nr,19,nr,nr,14,nr,nr,nr,19,18,17,20,nr,nr,nr,21,nr,nr,14,nr,nr,nr,nr,nr,nr,nr,nr,18,nr,nr,
01-08-2024,20,nr,nr,12,nr,19,nr,nr,nr,nr,nr,nr,15,18,16,nr,19,nr,nr,14,nr,nr,nr,20,18,14,20,nr,nr,nr,20,nr,nr,14,nr,nr,nr,nr,nr,nr,nr,nr,18,nr,nr,
01-08-2024,21,nr,nr,11,nr,19,nr,nr,nr,nr,nr,nr,15,17,16,nr,19,nr,nr,14,nr,nr,nr,20,19,14,19,nr,nr,nr,19,nr,nr,14,nr,nr,nr,nr,nr,nr,nr,nr,18,nr,nr,
01-08-2024,22,nr,nr,11,nr,18,nr,nr,nr,nr,nr,nr,14,16,16,nr,18,nr,nr,13,nr,nr,nr,19,18,13,18,nr,nr,nr,18,nr,nr,14,nr,nr,nr,nr,nr,nr,nr,nr,17,nr,nr,
