Promedio horarios de pm2Promedio horarios de pm2
Fecha,Hora,ACO,AJM,AJU,ATI,BJU,CAM,CCA,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LLA,LPR,MER,MGH,MPA,NEZ,PED,SAC,SAG,SFE,SJA,SUR,TAH,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-07-2024,1,nr,5,nr,nr,3,11,nr,9,nr,nr,nr,nr,nr,nr,5,6,0,nr,nr,nr,6,nr,2,nr,nr,14,7,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-07-2024,2,nr,nr,9,nr,2,0,10,5,nr,nr,nr,nr,nr,nr,nr,5,3,nr,nr,nr,5,nr,2,nr,2,7,3,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-07-2024,3,nr,6,nr,nr,4,nr,2,4,nr,nr,nr,nr,nr,nr,nr,2,1,nr,nr,nr,5,nr,1,nr,nr,6,10,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-07-2024,4,nr,nr,nr,nr,nr,0,1,7,nr,nr,nr,nr,nr,nr,10,nr,4,nr,nr,nr,5,nr,nr,nr,0,9,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-07-2024,5,nr,2,1,nr,nr,3,nr,7,nr,nr,nr,nr,nr,nr,nr,nr,2,nr,nr,nr,2,nr,nr,nr,2,12,2,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-07-2024,6,nr,0,4,nr,4,11,4,8,nr,nr,nr,nr,nr,nr,14,2,5,nr,nr,nr,2,nr,nr,nr,3,6,7,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-07-2024,7,nr,nr,3,nr,nr,9,5,7,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,3,nr,nr,nr,nr,5,14,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-07-2024,8,nr,nr,nr,nr,nr,nr,6,nr,nr,nr,nr,nr,nr,nr,10,4,0,nr,nr,nr,3,nr,nr,nr,1,3,3,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-07-2024,9,nr,nr,4,nr,nr,nr,4,nr,nr,nr,nr,nr,nr,nr,5,9,5,nr,nr,nr,7,nr,nr,nr,3,4,4,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-07-2024,10,nr,4,nr,nr,2,1,3,6,nr,nr,nr,nr,nr,nr,5,9,7,nr,nr,nr,12,nr,nr,nr,3,6,2,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-07-2024,11,nr,7,6,nr,11,26,5,8,nr,nr,nr,nr,nr,nr,6,2,nr,nr,nr,nr,6,nr,nr,nr,5,7,9,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-07-2024,12,nr,5,3,nr,13,7,8,7,nr,nr,nr,nr,nr,nr,3,4,3,nr,nr,nr,12,nr,nr,nr,9,4,9,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-07-2024,13,nr,7,nr,nr,8,8,8,7,nr,nr,nr,nr,nr,nr,1,6,1,nr,nr,nr,8,nr,nr,nr,7,5,2,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-07-2024,14,nr,9,2,nr,10,9,11,9,nr,nr,nr,nr,nr,nr,7,12,1,nr,nr,nr,9,nr,nr,nr,13,7,4,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-07-2024,15,nr,10,nr,nr,14,3,5,3,nr,nr,nr,nr,nr,nr,3,8,6,nr,nr,nr,5,nr,nr,nr,17,5,6,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
