Promedio horarios de tmpPromedio horarios de tmp
Fecha,Hora,ACO,AJM,AJU,ATI,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,IMP,INN,IZT,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SS1,SUR,TAC,TAH,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-07-2024,1,nr,nr,12,nr,16,nr,nr,nr,nr,nr,nr,14,14,14,nr,16,nr,nr,13,nr,nr,nr,17,15,11,16,nr,nr,12,16,nr,nr,12,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-07-2024,2,nr,nr,11,nr,16,nr,nr,nr,nr,nr,nr,13,14,14,nr,16,nr,nr,13,nr,nr,nr,17,15,10,16,14,nr,12,17,nr,nr,11,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-07-2024,3,nr,nr,11,nr,16,nr,nr,nr,nr,nr,nr,13,14,14,nr,16,nr,nr,13,nr,nr,nr,17,15,10,16,14,nr,12,17,nr,nr,12,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-07-2024,4,nr,nr,11,nr,16,nr,nr,nr,nr,nr,nr,13,13,14,nr,16,nr,nr,13,nr,nr,nr,17,16,nr,16,14,nr,12,16,nr,nr,11,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-07-2024,5,nr,nr,11,nr,15,nr,nr,nr,nr,nr,nr,13,13,14,nr,16,nr,nr,13,nr,nr,nr,17,15,nr,16,14,nr,12,16,nr,nr,11,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-07-2024,6,nr,nr,11,nr,15,nr,nr,nr,nr,nr,nr,13,13,14,nr,16,nr,nr,13,nr,nr,nr,17,15,10,16,14,nr,11,16,nr,nr,11,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-07-2024,7,nr,nr,11,nr,15,nr,nr,nr,nr,nr,nr,13,13,14,nr,16,nr,nr,13,nr,nr,nr,17,15,9,16,14,nr,11,16,nr,nr,11,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-07-2024,8,nr,nr,11,nr,15,nr,nr,nr,nr,nr,nr,13,14,14,nr,16,nr,nr,13,nr,nr,nr,17,15,11,16,14,nr,11,16,nr,nr,11,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-07-2024,9,nr,nr,12,nr,15,nr,nr,nr,nr,nr,nr,13,14,14,nr,16,nr,nr,13,nr,nr,nr,17,15,11,nr,14,nr,11,17,nr,nr,11,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-07-2024,10,nr,nr,12,nr,16,nr,nr,nr,nr,nr,nr,13,14,14,nr,17,nr,nr,14,nr,nr,nr,17,16,12,16,14,nr,12,17,nr,nr,12,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-07-2024,11,nr,nr,12,nr,16,nr,nr,nr,nr,nr,nr,14,15,15,nr,17,nr,nr,14,nr,nr,nr,18,16,15,17,15,nr,14,17,nr,nr,13,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-07-2024,12,nr,nr,13,nr,17,nr,nr,nr,nr,nr,nr,nr,16,17,nr,18,nr,nr,14,nr,nr,nr,19,17,17,18,15,nr,14,18,nr,nr,14,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-07-2024,13,nr,nr,13,nr,18,nr,nr,nr,nr,nr,nr,nr,16,19,nr,19,nr,nr,15,nr,nr,nr,20,18,17,19,16,nr,15,18,nr,nr,17,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-07-2024,14,nr,nr,14,nr,20,nr,nr,nr,nr,nr,nr,15,18,21,nr,20,nr,nr,16,nr,nr,nr,22,20,15,20,17,nr,16,19,nr,nr,18,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
