Promedio horarios de pm2Promedio horarios de pm2
Fecha,Hora,ACO,AJM,AJU,ATI,BJU,CAM,CCA,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LLA,LPR,MER,MGH,MPA,NEZ,PED,SAC,SAG,SFE,SJA,SUR,TAH,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-06-2024,1,nr,25,nr,nr,29,nr,nr,33,nr,nr,nr,nr,nr,nr,17,25,23,nr,nr,nr,21,nr,20,nr,19,30,19,nr,nr,nr,nr,nr,28,nr,nr,nr,34,nr,nr,
01-06-2024,2,nr,20,20,nr,23,nr,30,28,nr,nr,nr,nr,nr,20,24,57,15,nr,nr,nr,32,nr,20,nr,15,34,18,nr,nr,nr,nr,nr,29,nr,nr,nr,27,nr,nr,
01-06-2024,3,nr,20,25,nr,23,nr,24,35,nr,nr,nr,nr,nr,27,30,nr,12,nr,nr,nr,26,nr,17,nr,26,31,25,nr,nr,nr,nr,nr,16,nr,nr,nr,36,nr,nr,
01-06-2024,4,nr,18,28,nr,19,nr,21,31,nr,nr,nr,nr,nr,36,29,21,21,nr,nr,nr,29,nr,18,nr,28,37,36,nr,nr,nr,nr,nr,19,nr,nr,nr,28,nr,nr,
01-06-2024,5,nr,13,24,nr,20,nr,10,29,nr,nr,nr,nr,nr,34,23,20,18,nr,nr,nr,28,nr,19,nr,22,36,31,nr,nr,nr,nr,nr,24,nr,nr,nr,52,nr,nr,
01-06-2024,6,nr,18,21,nr,28,nr,22,30,nr,nr,nr,nr,nr,32,28,32,11,nr,nr,nr,42,nr,16,nr,19,28,34,nr,nr,nr,nr,nr,23,nr,nr,nr,93,nr,nr,
01-06-2024,7,nr,12,17,nr,32,nr,17,32,nr,nr,nr,nr,nr,36,30,33,14,nr,nr,nr,30,nr,12,nr,20,33,31,nr,nr,nr,nr,nr,17,nr,nr,nr,57,nr,nr,
01-06-2024,8,nr,14,15,nr,35,nr,23,38,nr,nr,nr,nr,nr,36,31,28,14,nr,nr,nr,40,nr,17,36,22,42,35,nr,nr,nr,nr,nr,24,nr,nr,nr,43,nr,nr,
01-06-2024,9,nr,23,15,nr,28,nr,20,35,nr,nr,nr,nr,nr,24,38,34,14,nr,nr,nr,43,nr,27,36,25,45,42,nr,nr,nr,nr,nr,30,nr,nr,nr,39,nr,nr,
01-06-2024,10,nr,28,28,nr,38,nr,35,30,nr,nr,nr,nr,nr,25,29,41,17,nr,nr,nr,42,nr,16,43,36,39,35,nr,nr,nr,nr,nr,39,nr,nr,nr,35,nr,nr,
01-06-2024,11,nr,35,32,nr,29,nr,40,24,nr,nr,nr,nr,nr,29,37,34,19,nr,nr,nr,40,nr,20,34,31,37,26,nr,nr,nr,nr,nr,45,nr,nr,nr,33,nr,nr,
01-06-2024,12,nr,25,24,nr,29,nr,27,22,nr,nr,nr,nr,nr,32,52,44,33,nr,nr,nr,24,nr,23,33,25,33,34,nr,nr,nr,nr,nr,nr,nr,nr,nr,26,nr,nr,
01-06-2024,13,nr,15,22,nr,24,nr,7,20,nr,nr,nr,nr,nr,20,47,28,18,nr,nr,nr,30,nr,14,27,16,29,21,nr,nr,nr,nr,nr,25,nr,nr,nr,27,nr,nr,
01-06-2024,14,nr,16,15,nr,21,nr,20,15,nr,nr,nr,nr,nr,16,46,21,12,nr,nr,nr,26,nr,13,29,18,28,12,nr,nr,nr,nr,nr,19,nr,nr,nr,21,nr,nr,
01-06-2024,15,nr,21,13,nr,17,nr,30,13,nr,nr,nr,nr,nr,13,14,22,34,nr,nr,nr,21,nr,13,23,19,27,nr,nr,nr,nr,nr,nr,19,nr,nr,nr,23,nr,nr,
01-06-2024,16,nr,19,15,nr,18,nr,14,17,nr,nr,nr,nr,nr,11,14,14,19,nr,nr,nr,16,nr,14,16,16,25,nr,nr,nr,nr,nr,nr,21,nr,nr,nr,19,nr,nr,
01-06-2024,17,nr,15,29,nr,16,nr,16,16,nr,nr,nr,nr,nr,10,12,13,19,nr,nr,nr,12,nr,16,24,12,23,nr,nr,nr,nr,nr,nr,13,nr,nr,nr,16,nr,nr,
01-06-2024,18,nr,15,31,nr,20,nr,16,16,nr,nr,nr,nr,nr,12,14,18,22,nr,nr,nr,13,nr,16,42,16,25,8,nr,nr,nr,nr,nr,9,nr,nr,nr,20,nr,nr,
01-06-2024,19,nr,18,27,nr,18,nr,16,23,nr,nr,nr,nr,nr,20,15,13,19,nr,nr,nr,16,nr,18,27,17,24,13,nr,nr,nr,nr,nr,9,nr,nr,nr,18,nr,nr,
01-06-2024,20,nr,22,25,nr,19,nr,20,25,nr,nr,nr,nr,nr,21,18,13,27,nr,nr,nr,20,nr,21,nr,24,29,15,nr,nr,nr,nr,nr,11,nr,nr,nr,20,nr,nr,
01-06-2024,21,nr,23,32,nr,20,nr,23,31,nr,nr,nr,nr,nr,31,13,23,21,nr,nr,nr,23,nr,22,nr,27,29,16,nr,nr,nr,nr,nr,15,nr,nr,nr,24,nr,nr,
01-06-2024,22,nr,24,37,nr,23,nr,43,31,nr,nr,nr,nr,nr,27,13,28,25,nr,nr,nr,26,nr,18,nr,25,27,16,nr,nr,nr,nr,nr,20,nr,nr,nr,27,nr,nr,
