Promedio horarios de tmpPromedio horarios de tmp
Fecha,Hora,ACO,AJM,AJU,ATI,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,IMP,INN,IZT,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SS1,SUR,TAC,TAH,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-06-2024,1,nr,16,11,nr,22,nr,nr,nr,17,nr,nr,nr,19,19,nr,23,nr,nr,14,nr,nr,nr,24,nr,nr,23,20,nr,21,23,nr,nr,17,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-06-2024,2,nr,15,11,nr,21,nr,nr,nr,16,nr,nr,nr,17,18,nr,21,nr,nr,14,nr,nr,nr,23,nr,nr,22,19,nr,20,21,nr,nr,16,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-06-2024,3,nr,15,9,nr,21,nr,nr,nr,15,nr,nr,nr,16,16,nr,21,nr,nr,13,nr,nr,nr,22,nr,nr,21,19,nr,19,19,nr,nr,15,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-06-2024,4,nr,15,8,nr,20,nr,nr,nr,15,nr,nr,nr,15,14,nr,19,nr,nr,12,nr,nr,nr,22,nr,nr,20,18,nr,18,18,nr,nr,14,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-06-2024,5,nr,13,6,nr,19,nr,nr,nr,14,nr,nr,nr,15,13,nr,19,nr,nr,11,nr,nr,nr,20,nr,nr,20,17,nr,18,18,nr,nr,12,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-06-2024,6,nr,12,6,nr,18,nr,nr,nr,13,nr,nr,nr,14,12,nr,18,nr,nr,11,nr,nr,nr,20,nr,nr,18,16,nr,17,17,nr,nr,12,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-06-2024,7,nr,12,6,nr,18,nr,nr,nr,12,nr,nr,nr,13,12,nr,18,nr,nr,11,nr,nr,nr,20,nr,nr,19,16,nr,16,17,nr,nr,12,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-06-2024,8,nr,15,11,nr,19,nr,nr,nr,17,nr,nr,nr,16,15,nr,20,nr,nr,13,nr,nr,nr,21,nr,nr,20,18,nr,18,18,nr,nr,16,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-06-2024,9,nr,18,16,nr,21,nr,nr,nr,23,nr,nr,nr,19,20,nr,22,nr,nr,18,nr,nr,nr,23,nr,nr,22,20,nr,22,21,nr,nr,23,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-06-2024,10,nr,20,18,nr,23,nr,nr,nr,26,nr,nr,nr,23,24,nr,24,nr,nr,20,nr,nr,nr,25,nr,nr,24,22,nr,24,24,nr,nr,26,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
